player,tm,Wins,Loss,Games Played,Minutes Played,Total Points,PPG,Total Assists,APG,FGA,FGM,FG%,3PA,3PM,3P%,FTA,FTM,FT%,Rebounds,RPG,Total Steals,STLpg,Blocks,BLKpg,Personal Fouls,Turnovers
Colby Jones,SAC,10,14,24,129.79,26,1.08,7,0.29,26,11,42.31,10,4,40.0,0,0,,23,0.96,6,0.25,7,0.29,13,7
Isaac Jones,SAC,11,14,25,218.25,91,3.64,8,0.32,58,38,65.52,4,1,25.0,26,14,53.85,38,1.52,3,0.12,8,0.32,26,12
Brandon Williams,DAL,8,9,17,120.12,47,2.76,19,1.12,40,16,40.0,15,5,33.33,13,10,76.92,13,0.76,3,0.18,0,0.0,7,10
Jamal Cain,NOP,3,17,20,251.91,74,3.7,11,0.55,63,26,41.27,35,10,28.57,18,12,66.67,48,2.4,9,0.45,7,0.35,24,9
Pat Spencer,GSW,8,12,20,154.39,63,3.15,31,1.55,60,26,43.33,12,2,16.67,13,9,69.23,30,1.5,9,0.45,2,0.1,13,12
Reece Beekman,GSW,7,13,20,216.79,45,2.25,31,1.55,50,18,36.0,18,4,22.22,9,5,55.56,15,0.75,13,0.65,2,0.1,11,10
Brandon Boston,NOP,3,26,29,748.28,342,11.79,82,2.83,289,128,44.29,106,37,34.91,61,49,80.33,99,3.41,43,1.48,7,0.24,51,42
Johnny Juzang,UTA,10,24,34,597.76,244,7.18,33,0.97,201,83,41.29,143,56,39.16,25,22,88.0,89,2.62,12,0.35,5,0.15,67,16
Adama Sanogo,CHI,2,2,4,21.49,8,2.0,1,0.25,7,4,57.14,0,0,,0,0,,6,1.5,0,0.0,0,0.0,1,1
Trey Jemison,NOP,6,15,21,207.54,45,2.14,11,0.52,39,18,46.15,0,0,,25,9,36.0,61,2.9,8,0.38,10,0.48,37,13
Sidy Cissoko,SAS,8,9,17,54.42,22,1.29,6,0.35,18,9,50.0,7,3,42.86,6,1,16.67,10,0.59,1,0.06,0,0.0,6,2
Tyrese Martin,BRK,9,25,34,720.88,272,8.0,59,1.74,249,99,39.76,153,53,34.64,30,21,70.0,134,3.94,13,0.38,5,0.15,39,44
Torrey Craig,CHI,3,6,9,112.87,62,6.89,5,0.56,45,22,48.89,35,15,42.86,4,3,75.0,25,2.78,2,0.22,1,0.11,15,0
Cam Reddish,LAL,15,16,31,560.34,103,3.32,23,0.74,86,37,43.02,45,13,28.89,26,16,61.54,62,2.0,31,1.0,10,0.32,43,12
Liam Robbins,MIL,8,5,13,56.97,9,0.69,2,0.15,8,2,25.0,2,0,0.0,10,5,50.0,12,0.92,2,0.15,2,0.15,9,6
Colin Castleton,MEM,9,1,10,46.03,14,1.4,0,0.0,10,2,20.0,4,0,0.0,11,10,90.91,9,0.9,1,0.1,1,0.1,6,1
Luke Travers,CLE,5,1,6,41.56,8,1.33,5,0.83,7,3,42.86,3,0,0.0,2,2,100.0,6,1.0,1,0.17,1,0.17,3,2
Ja'Kobe Walter,TOR,10,23,33,637.63,255,7.73,48,1.45,229,93,40.61,110,34,30.91,50,35,70.0,79,2.39,22,0.67,7,0.21,63,26
Malevy Leons,OKC,6,0,6,20.96,2,0.33,1,0.17,2,0,0.0,1,0,0.0,4,2,50.0,3,0.5,0,0.0,0,0.0,4,1
PJ Dozier,MIN,7,2,9,34.92,7,0.78,5,0.56,3,2,66.67,3,2,66.67,6,1,16.67,5,0.56,1,0.11,0,0.0,3,1
DeAndre Jordan,DEN,25,12,37,432.35,132,3.57,30,0.81,90,60,66.67,0,0,,29,12,41.38,168,4.54,10,0.27,17,0.46,45,27
Svi Mykhailiuk,UTA,5,15,20,386.04,199,9.95,37,1.85,171,70,40.94,124,43,34.68,21,16,76.19,49,2.45,14,0.7,5,0.25,26,31
Taj Gibson,CHO,7,14,21,229.59,52,2.48,11,0.52,50,22,44.0,2,1,50.0,12,7,58.33,72,3.43,7,0.33,10,0.48,32,13
Bones Hyland,LAC,8,12,20,221.9,144,7.2,28,1.4,115,45,39.13,80,31,38.75,26,23,88.46,24,1.2,18,0.9,4,0.2,26,24
Spencer Jones,DEN,7,1,8,19.83,5,0.62,0,0.0,7,2,28.57,5,1,20.0,0,0,,4,0.5,2,0.25,0,0.0,2,1
Nick Smith,CHO,2,12,14,124.59,44,3.14,10,0.71,49,17,34.69,27,9,33.33,2,1,50.0,11,0.79,4,0.29,1,0.07,8,3
Kobe Brown,LAC,9,11,20,158.98,53,2.65,14,0.7,47,23,48.94,16,4,25.0,4,3,75.0,45,2.25,3,0.15,2,0.1,14,6
Josh Minott,MIN,20,11,31,215.53,80,2.58,13,0.42,68,32,47.06,29,7,24.14,11,9,81.82,33,1.06,12,0.39,10,0.32,27,7
Rob Dillingham,MIN,15,12,27,314.08,153,5.67,63,2.33,131,64,48.85,52,22,42.31,7,3,42.86,30,1.11,9,0.33,0,0.0,26,36
Jeff Green,HOU,8,6,14,145.28,57,4.07,3,0.21,39,21,53.85,24,8,33.33,9,7,77.78,18,1.29,3,0.21,1,0.07,14,4
Terrence Shannon,MIN,7,3,10,45.49,15,1.5,5,0.5,13,7,53.85,3,1,33.33,0,0,,2,0.2,2,0.2,1,0.1,1,3
Luka Garza,MIN,15,5,20,103.5,68,3.4,2,0.1,55,27,49.09,18,5,27.78,12,9,75.0,26,1.3,2,0.1,1,0.05,14,6
Jordan Miller,LAC,15,14,29,370.06,142,4.9,31,1.07,126,54,42.86,36,8,22.22,33,26,78.79,52,1.79,15,0.52,5,0.17,21,22
Richaun Holmes,WAS,3,11,14,195.14,68,4.86,15,1.07,46,27,58.7,2,0,0.0,18,14,77.78,65,4.64,2,0.14,8,0.57,18,5
Josh Richardson,MIA,4,4,8,149.5,32,4.0,12,1.5,38,11,28.95,22,6,27.27,4,4,100.0,12,1.5,8,1.0,1,0.12,17,8
Dominick Barlow,ATL,4,11,15,119.11,42,2.8,3,0.2,38,17,44.74,11,4,36.36,8,4,50.0,23,1.53,3,0.2,7,0.47,9,1
Jaylen Nowell,NOP,1,7,8,168.09,67,8.38,18,2.25,73,26,35.62,27,8,29.63,11,7,63.64,20,2.5,1,0.12,4,0.5,9,8
Jared Rhoden,CHO,1,3,4,11.65,4,1.0,2,0.5,8,2,25.0,2,0,0.0,0,0,,4,1.0,1,0.25,0,0.0,1,1
Paul George,PHI,14,18,32,1023.1,537,16.78,143,4.47,459,197,42.92,209,78,37.32,79,65,82.28,171,5.34,55,1.72,12,0.38,82,84
KJ Simpson,CHO,2,17,19,342.05,118,6.21,43,2.26,129,41,31.78,57,12,21.05,30,24,80.0,43,2.26,13,0.68,4,0.21,29,20
