player,tm,Wins,Loss,Games Played,Minutes Played,Total Points,PPG,Total Assists,APG,FGA,FGM,FG%,3PA,3PM,3P%,FTA,FTM,FT%,Rebounds,RPG,Total Steals,STLpg,Blocks,BLKpg,Personal Fouls,Turnovers
DaQuan Jeffries,CHO,3,15,18,325.48,97,5.39,21,1.17,85,36,42.35,48,17,35.42,9,8,88.89,53,2.94,13,0.72,7,0.39,36,10
Precious Achiuwa,NYK,21,9,30,614.06,196,6.53,31,1.03,152,83,54.61,21,8,38.1,36,22,61.11,175,5.83,31,1.03,23,0.77,49,25
Khris Middleton,MIL,12,11,23,533.94,290,12.61,102,4.43,211,108,51.18,86,35,40.7,46,39,84.78,85,3.7,17,0.74,5,0.22,52,37
Kelly Olynyk,TOR,6,18,24,382.81,171,7.12,56,2.33,118,59,50.0,43,19,44.19,43,34,79.07,89,3.71,16,0.67,8,0.33,59,35
Isaiah Wong,CHO,2,16,18,225.64,96,5.33,26,1.44,89,32,35.96,29,9,31.03,32,23,71.88,30,1.67,10,0.56,0,0.0,19,15
Bryce McGowens,POR,4,4,8,20.53,13,1.62,1,0.12,7,4,57.14,2,0,0.0,6,5,83.33,1,0.12,1,0.12,0,0.0,2,3
Quincy Olivari,LAL,1,1,2,10.3,3,1.5,1,0.5,5,1,20.0,5,1,20.0,0,0,,0,0.0,0,0.0,0,0.0,0,1
Isiah Crawford,SAC,1,0,1,5.23,0,0.0,0,0.0,0,0,,0,0,,0,0,,1,1.0,0,0.0,0,0.0,1,0
Max Strus,CLE,18,6,24,595.63,204,8.5,71,2.96,171,73,42.69,135,51,37.78,9,7,77.78,104,4.33,15,0.62,9,0.38,48,24
Leonard Miller,MIN,5,1,6,15.49,10,1.67,0,0.0,8,2,25.0,3,0,0.0,6,6,100.0,9,1.5,1,0.17,0,0.0,2,2
Jaylin Williams,OKC,19,4,23,392.81,135,5.87,56,2.43,125,49,39.2,86,27,31.4,10,10,100.0,130,5.65,10,0.43,16,0.7,41,17
A.J. Lawson,TOR,1,3,4,15.03,11,2.75,0,0.0,8,4,50.0,5,2,40.0,3,1,33.33,3,0.75,0,0.0,0,0.0,0,0
Landry Shamet,NYK,13,6,19,197.45,52,2.74,8,0.42,52,21,40.38,31,9,29.03,4,1,25.0,15,0.79,8,0.42,2,0.11,13,7
Tristan Vukcevic,WAS,2,9,11,76.9,43,3.91,9,0.82,37,16,43.24,19,5,26.32,9,6,66.67,18,1.64,1,0.09,1,0.09,10,5
Josh Christopher,MIA,4,4,8,27.59,6,0.75,4,0.5,7,2,28.57,1,0,0.0,4,2,50.0,3,0.38,0,0.0,1,0.12,1,4
Quinten Post,GSW,4,9,13,183.74,92,7.08,23,1.77,77,34,44.16,47,17,36.17,7,7,100.0,44,3.38,2,0.15,3,0.23,25,7
Bruce Brown,TOR,8,10,18,352.67,151,8.39,28,1.56,131,57,43.51,36,11,30.56,29,26,89.66,68,3.78,17,0.94,3,0.17,26,19
Trey Murphy III,NOP,6,10,16,592.78,410,25.62,67,4.19,272,136,50.0,142,58,40.85,89,80,89.89,90,5.62,22,1.38,14,0.88,38,23
Kelly Oubre Jr.,PHI,7,12,19,719.74,320,16.84,46,2.42,261,123,47.13,71,20,28.17,70,54,77.14,149,7.84,37,1.95,9,0.47,56,25
Michael Porter Jr.,DEN,16,6,22,698.66,427,19.41,32,1.45,303,159,52.48,150,64,42.67,56,45,80.36,142,6.45,11,0.5,13,0.59,31,26
Derrick Jones Jr.,LAC,10,10,20,520.31,223,11.15,17,0.85,168,91,54.17,57,19,33.33,32,22,68.75,84,4.2,21,1.05,9,0.45,39,18
Ricky Council IV,PHI,7,14,21,365.68,166,7.9,33,1.57,138,59,42.75,65,22,33.85,34,26,76.47,58,2.76,13,0.62,2,0.1,22,17
Mo Bamba,LAC,6,6,12,147.05,67,5.58,5,0.42,45,25,55.56,23,9,39.13,12,8,66.67,60,5.0,1,0.08,9,0.75,16,9
Pete Nance,PHI,3,4,7,68.42,15,2.14,3,0.43,15,5,33.33,12,4,33.33,2,1,50.0,10,1.43,1,0.14,0,0.0,10,0
Tidjane Salaün,CHO,4,5,9,143.76,43,4.78,8,0.89,42,15,35.71,23,6,26.09,11,7,63.64,35,3.89,5,0.56,2,0.22,11,8
Craig Porter Jr.,CLE,10,3,13,108.52,46,3.54,12,0.92,27,18,66.67,8,6,75.0,5,4,80.0,13,1.0,4,0.31,4,0.31,5,7
Brandon Boston Jr.,NOP,5,7,12,229.48,95,7.92,10,0.83,84,35,41.67,29,9,31.03,20,16,80.0,33,2.75,8,0.67,1,0.08,19,8
Patrick Baldwin Jr.,WAS,0,9,9,42.06,20,2.22,1,0.11,13,7,53.85,10,6,60.0,0,0,,10,1.11,1,0.11,0,0.0,1,3
Isaiah Crawford,SAC,2,1,3,8.86,3,1.0,0,0.0,3,1,33.33,1,0,0.0,2,1,50.0,3,1.0,0,0.0,0,0.0,0,0
Kevin Porter Jr.,LAC,9,9,18,336.96,148,8.22,63,3.5,146,62,42.47,34,8,23.53,25,16,64.0,61,3.39,15,0.83,4,0.22,24,22
Lindy Waters III,GSW,5,9,14,231.15,77,5.5,10,0.71,73,28,38.36,53,17,32.08,6,4,66.67,34,2.43,5,0.36,5,0.36,16,8
Jaren Jackson Jr.,MEM,13,5,18,578.0,478,26.56,53,2.94,342,174,50.88,107,43,40.19,118,87,73.73,115,6.39,18,1.0,26,1.44,64,42
Gary Trent Jr.,MIL,9,8,17,415.53,182,10.71,23,1.35,138,64,46.38,95,45,47.37,10,9,90.0,42,2.47,16,0.94,1,0.06,26,7
Xavier Tillman Sr.,BOS,3,3,6,31.29,2,0.33,1,0.17,5,1,20.0,3,0,0.0,0,0,,2,0.33,3,0.5,2,0.33,1,3
Andre Jackson Jr.,MIL,10,9,19,300.89,83,4.37,27,1.42,59,36,61.02,17,8,47.06,5,3,60.0,65,3.42,10,0.53,6,0.32,32,14
Scotty Pippen Jr.,MEM,13,5,18,338.5,133,7.39,66,3.67,104,46,44.23,42,14,33.33,40,27,67.5,58,3.22,27,1.5,6,0.33,51,25
Dereck Lively II,DAL,2,5,7,164.97,75,10.71,22,3.14,48,34,70.83,0,0,,9,7,77.78,57,8.14,1,0.14,14,2.0,22,7
Jaime Jaquez Jr.,MIA,8,11,19,479.03,195,10.26,67,3.53,146,68,46.58,36,13,36.11,59,46,77.97,91,4.79,20,1.05,6,0.32,28,28
Wendell Carter Jr.,ORL,5,14,19,507.23,201,10.58,47,2.47,160,72,45.0,51,12,23.53,60,45,75.0,139,7.32,20,1.05,7,0.37,59,23
Jabari Smith Jr.,HOU,1,0,1,22.83,12,12.0,0,0.0,8,5,62.5,2,1,50.0,2,1,50.0,2,2.0,2,2.0,1,1.0,1,2
Tim Hardaway Jr.,DET,12,7,19,585.47,231,12.16,31,1.63,180,73,40.56,118,47,39.83,49,38,77.55,51,2.68,11,0.58,3,0.16,25,14
Nick Smith Jr.,CHO,6,11,17,441.35,201,11.82,43,2.53,182,78,42.86,99,36,36.36,10,9,90.0,51,3.0,7,0.41,4,0.24,25,27
Wendell Moore Jr.,DET,4,3,7,35.95,5,0.71,5,0.71,9,2,22.22,3,1,33.33,0,0,,2,0.29,2,0.29,0,0.0,2,1
Devin Carter,SAC,9,7,16,157.92,59,3.69,21,1.31,61,19,31.15,31,8,25.81,18,13,72.22,40,2.5,5,0.31,3,0.19,14,8
Kawhi Leonard,LAC,8,5,13,324.79,210,16.15,33,2.54,183,85,46.45,58,21,36.21,25,19,76.0,59,4.54,11,0.85,7,0.54,14,25
TyTy Washington Jr.,PHO,0,1,1,0.9,0,0.0,0,0.0,0,0,,0,0,,0,0,,0,0.0,0,0.0,0,0.0,0,0
Tosan Evbuomwan,BRK,5,13,18,443.25,180,10.0,30,1.67,143,66,46.15,45,14,31.11,47,34,72.34,74,4.11,12,0.67,7,0.39,35,30
Dariq Whitehead,BRK,1,3,4,28.4,18,4.5,0,0.0,14,6,42.86,11,5,45.45,3,1,33.33,2,0.5,0,0.0,0,0.0,1,0
Alperen Şengün,HOU,9,4,13,409.19,263,20.23,67,5.15,210,104,49.52,16,5,31.25,83,50,60.24,142,10.92,18,1.38,5,0.38,38,29
Bobi Klintman,DET,2,1,3,7.58,0,0.0,1,0.33,2,0,0.0,1,0,0.0,0,0,,2,0.67,0,0.0,0,0.0,2,0
Jaylen Clark,MIN,8,2,10,115.76,48,4.8,5,0.5,34,16,47.06,17,8,47.06,10,8,80.0,15,1.5,3,0.3,1,0.1,16,1
RayJ Dennis,IND,4,2,6,11.39,5,0.83,1,0.17,3,1,33.33,3,1,33.33,2,2,100.0,3,0.5,2,0.33,0,0.0,1,2
Elijah Harkless,UTA,1,8,9,135.05,32,3.56,8,0.89,35,11,31.43,25,7,28.0,6,3,50.0,21,2.33,10,1.11,1,0.11,17,3
Daeqwon Plowden,ATL,1,1,2,32.72,24,12.0,0,0.0,10,8,80.0,8,6,75.0,2,2,100.0,5,2.5,0,0.0,0,0.0,5,1
Gary Payton II,GSW,6,6,12,172.86,78,6.5,17,1.42,57,30,52.63,19,6,31.58,14,12,85.71,41,3.42,6,0.5,2,0.17,28,14
GG Jackson II,MEM,8,1,9,158.41,89,9.89,8,0.89,79,32,40.51,40,11,27.5,17,14,82.35,35,3.89,5,0.56,2,0.22,9,13
Emoni Bates,CLE,5,0,5,19.12,0,0.0,4,0.8,7,0,0.0,6,0,0.0,0,0,,0,0.0,0,0.0,0,0.0,2,0
Jarred Vanderbilt,LAL,6,0,6,94.3,21,3.5,9,1.5,18,9,50.0,4,1,25.0,4,2,50.0,41,6.83,11,1.83,1,0.17,13,4
Larry Nance Jr.,ATL,2,5,7,131.32,38,5.43,12,1.71,44,15,34.09,19,6,31.58,4,2,50.0,30,4.29,4,0.57,1,0.14,10,3
Kylor Kelley,DAL,1,3,4,54.3,18,4.5,1,0.25,9,7,77.78,0,0,,6,4,66.67,18,4.5,0,0.0,2,0.5,6,1
Dante Exum,DAL,1,3,4,74.61,46,11.5,13,3.25,34,17,50.0,12,5,41.67,10,7,70.0,5,1.25,3,0.75,0,0.0,6,5
Zyon Pullin,MEM,1,0,1,0.82,0,0.0,0,0.0,0,0,,0,0,,0,0,,0,0.0,0,0.0,0,0.0,0,0
David Duke Jr.,SAS,0,1,1,3.77,0,0.0,0,0.0,1,0,0.0,0,0,,0,0,,2,2.0,0,0.0,0,0.0,0,1
Vince Williams Jr.,MEM,1,0,1,12.98,4,4.0,2,2.0,5,2,40.0,0,0,,1,0,0.0,4,4.0,2,2.0,0,0.0,0,0
Jackson Rowe,GSW,0,2,2,29.23,6,3.0,2,1.0,8,2,25.0,7,2,28.57,2,0,0.0,6,3.0,2,1.0,0,0.0,4,0
Keion Brooks Jr.,NOP,0,1,1,2.77,0,0.0,0,0.0,0,0,,0,0,,0,0,,0,0.0,0,0.0,0,0.0,1,0
Terrence Shannon Jr. ,MIN,2,0,2,7.55,5,2.5,1,0.5,5,2,40.0,2,1,50.0,0,0,,0,0.0,0,0.0,0,0.0,0,0
Chuma Okeke,PHI,0,1,1,2.18,0,0.0,0,0.0,0,0,,0,0,,0,0,,1,1.0,0,0.0,0,0.0,0,0
